Inference Latency (ms),Prediction,Input Text,Timestamp
80.83,NEGATIVE,This is a very long sentence designed to test the latency impact of input text length on the LLM inference service We are exploring how the length of the input affects the processing time and overall performance This paragraph is intentionally extended to simulate scenarios where the model needs to handle more substantial amounts of textual data for sentiment analysis We will analyze the latency measurements for these long inputs in comparison to shorter sentences to determine if there is a significant correlation between input length and inference time  Understanding this relationship is crucial for optimizing the service and predicting performance under varying workloads,2026-07-28T11:32:32.012187
28.14,NEGATIVE,This movie felt like the inside of my head,2026-07-28T11:32:32.048267
19.76,NEGATIVE,Bad cheesy acting dumb ending,2026-07-28T11:32:32.075200
20.46,NEGATIVE,Plot is interesting but its not even worth a watch,2026-07-28T11:32:32.102851
19.36,NEGATIVE,It was so terribly made,2026-07-28T11:32:32.129285
19.02,NEGATIVE,Nothing is explained,2026-07-28T11:32:32.154998
21.16,NEGATIVE,The whole journey is pointless,2026-07-28T11:32:32.182868
20.99,POSITIVE,Never seen anyone miss the point so bad,2026-07-28T11:32:32.210471
25.67,NEGATIVE,It was almost admirable how bad they missed it,2026-07-28T11:32:32.243629
36.16,POSITIVE,A movie that has terrible reviews but you enjoy anyway,2026-07-28T11:32:32.286298
46.67,NEGATIVE,What popular film do you think is a complete waste of time,2026-07-28T11:32:32.340339
38.73,NEGATIVE,A movie so terrible you would never waste your time again,2026-07-28T11:32:32.388471
25.71,NEGATIVE,What movie do you think is horrible and overrated,2026-07-28T11:32:32.422892
28.66,NEGATIVE,When I love a movie so much and see negative reviews,2026-07-28T11:32:32.460839
26.23,NEGATIVE,I stop liking it,2026-07-28T11:32:32.495492
29.89,NEGATIVE,Start to feel as if its mediocre,2026-07-28T11:32:32.534527
21.68,NEGATIVE,How do I stop this,2026-07-28T11:32:32.563828
23.38,NEGATIVE,What puts you in a terrible mood,2026-07-28T11:32:32.594002
21.01,NEGATIVE,Its something as non essential,2026-07-28T11:32:32.621798
18.45,NEGATIVE,Actually a horrible explanation,2026-07-28T11:32:32.647427
21.53,NEGATIVE,Felt like the inside of my head,2026-07-28T11:32:32.675660
22.35,NEGATIVE,World of non stop news most of it bad,2026-07-28T11:32:32.705304
26.10,NEGATIVE,How is a person like me,2026-07-28T11:32:32.738699
23.18,NEGATIVE,Trouble understanding everything,2026-07-28T11:32:32.772085
34.28,NEGATIVE,Bad acting,2026-07-28T11:32:32.812987
37.68,NEGATIVE,Dumb ending,2026-07-28T11:32:32.867788
36.54,NEGATIVE,Terribly made,2026-07-28T11:32:32.912041
36.54,NEGATIVE,Not even worth a watch,2026-07-28T11:32:32.957250
26.55,NEGATIVE,Nothing explained,2026-07-28T11:32:32.995677
32.65,NEGATIVE,Pointless journey,2026-07-28T11:32:33.036474
24.48,NEGATIVE,Missed the point so bad,2026-07-28T11:32:33.072364
31.83,NEGATIVE,Almost admirable how bad,2026-07-28T11:32:33.112135
32.08,POSITIVE,Terrible reviews but you enjoy anyway,2026-07-28T11:32:33.152970
23.09,POSITIVE,I absolutely promise not to waste your time,2026-07-28T11:32:33.184927
27.73,POSITIVE,Piece them together with commentary,2026-07-28T11:32:33.219401
39.66,POSITIVE,Make my full reviews here on Medium,2026-07-28T11:32:33.266417
27.12,NEGATIVE,Before they go anywhere else,2026-07-28T11:32:33.300593
20.67,POSITIVE,Enjoyed every minute,2026-07-28T11:32:33.328516
19.81,POSITIVE,Exceeded my expectations,2026-07-28T11:32:33.356047
21.19,POSITIVE,Incredibly friendly and helpful staff,2026-07-28T11:32:33.385912
26.49,POSITIVE,Highly recommend it to everyone,2026-07-28T11:32:33.419927
21.16,POSITIVE,Truly wonderful experience,2026-07-28T11:32:33.448040
25.28,POSITIVE,Extremely satisfied with my purchase,2026-07-28T11:32:33.482689
32.66,POSITIVE,Great value for money,2026-07-28T11:32:33.521918
25.42,POSITIVE,Definitely be returning,2026-07-28T11:32:33.555396
18.80,POSITIVE,Top notch overall experience,2026-07-28T11:32:33.581350
18.27,POSITIVE,Truly exceptional work,2026-07-28T11:32:33.607656
19.45,NEGATIVE,Regretted wasting my time watching it,2026-07-28T11:32:33.635131
18.59,POSITIVE,Far below my expectations,2026-07-28T11:32:33.661466
18.32,NEGATIVE,Awful food rude staff,2026-07-28T11:32:33.687783
18.62,NEGATIVE,Terrible experience all around,2026-07-28T11:32:33.714341
18.62,NEGATIVE,Complete waste of money,2026-07-28T11:32:33.741289
19.91,NEGATIVE,Do not buy it,2026-07-28T11:32:33.768464
24.58,NEGATIVE,Extremely poor quality,2026-07-28T11:32:33.800415
33.68,NEGATIVE,Disaster from beginning to end,2026-07-28T11:32:33.841006
31.94,NEGATIVE,Awful and frustrating,2026-07-28T11:32:33.880623
31.02,NEGATIVE,Extremely dissatisfied,2026-07-28T11:32:33.918134
31.31,NEGATIVE,Never purchase again,2026-07-28T11:32:33.958930
30.08,NEGATIVE,Terrible quality outrageous price,2026-07-28T11:32:33.997837
30.76,NEGATIVE,No value for money,2026-07-28T11:32:34.038287
28.57,NEGATIVE,Strongly advise everyone to avoid,2026-07-28T11:32:34.074907
17.79,NEGATIVE,Unpleasant atmosphere,2026-07-28T11:32:34.100760
18.25,NEGATIVE,Incredibly disappointing experience,2026-07-28T11:32:34.126880
18.36,NEGATIVE,Completely unacceptable work,2026-07-28T11:32:34.152285
18.77,NEGATIVE,Unprofessional result,2026-07-28T11:32:34.178274
22.13,NEGATIVE,While the visuals were stunning the story just didnt grab me at all,2026-07-28T11:32:34.207613
24.36,NEGATIVE,I wanted to love this film but it ended up being quite a letdown in the end,2026-07-28T11:32:34.239128
25.56,NEGATIVE,Despite the hype I found it to be rather mediocre and forgettable to be honest,2026-07-28T11:32:34.271926
23.09,NEGATIVE,The plot was all over the place and the characters felt very underdeveloped,2026-07-28T11:32:34.302959
22.69,NEGATIVE,I went in with high expectations but left feeling utterly disappointed and bored,2026-07-28T11:32:34.333008
22.03,NEGATIVE,Honestly I struggled to stay awake through most of it it was that dull,2026-07-28T11:32:34.362311
22.08,NEGATIVE,The acting was wooden and the dialogue was incredibly cliched and predictable,2026-07-28T11:32:34.391824
27.03,NEGATIVE,I wouldnt recommend this movie to anyone unless you are looking for something to put you to sleep,2026-07-28T11:32:34.425867
23.93,NEGATIVE,A complete waste of time and money I wish I had chosen to watch something else,2026-07-28T11:32:34.457747
28.77,POSITIVE,If you are considering watching this just dont You will thank me later for saving you the trouble,2026-07-28T11:32:34.493874
21.96,NEGATIVE,It had its moments but overall it was just okay nothing special,2026-07-28T11:32:34.523303
28.14,NEGATIVE,Parts of it were good but other parts were quite confusing and dragged on,2026-07-28T11:32:34.559917
28.93,NEGATIVE,I can see why some people liked it but it wasnt really my cup of tea,2026-07-28T11:32:34.595519
26.58,NEGATIVE,Its not the worst movie Ive seen but definitely not the best either somewhere in the middle,2026-07-28T11:32:34.628853
21.35,NEGATIVE,There were some interesting ideas but the execution was lacking and inconsistent,2026-07-28T11:32:34.659111
23.37,NEGATIVE,It had potential but it didnt quite live up to it which is a shame,2026-07-28T11:32:34.689734
22.80,POSITIVE,Its a mixed bag some good aspects some not so good ultimately average,2026-07-28T11:32:34.719712
23.93,POSITIVE,Not terrible but not great either just a very okay movie if you have nothing else to watch,2026-07-28T11:32:34.750794
35.90,NEGATIVE,Its watchable but dont expect to be blown away or remember it for very long,2026-07-28T11:32:34.793771
29.31,NEGATIVE,If you are really bored maybe give it a try otherwise you are not missing much really,2026-07-28T11:32:34.830658
21.42,NEGATIVE,The movie just left me feeling empty you know,2026-07-28T11:32:34.859732
21.09,NEGATIVE,Honestly I was expecting so much more from this film,2026-07-28T11:32:34.887894
21.37,NEGATIVE,What a waste of a perfectly good evening seriously,2026-07-28T11:32:34.916758
35.84,NEGATIVE,I am still trying to figure out what the point of this movie even was,2026-07-28T11:32:34.961097
33.19,NEGATIVE,If I could get those two hours of my life back I would in a heartbeat,2026-07-28T11:32:35.002329
22.27,NEGATIVE,Seriously dont believe the hype its really not worth it trust me,2026-07-28T11:32:35.032464
23.69,NEGATIVE,I am actually kind of annoyed that I spent money on this to be honest,2026-07-28T11:32:35.064317
21.64,NEGATIVE,They really dropped the ball with this one what a disappointment truly,2026-07-28T11:32:35.094284
26.60,NEGATIVE,My expectations were low and somehow it still managed to disappoint me impressive,2026-07-28T11:32:35.128979
39.33,NEGATIVE,I am not even sure how this movie got made it was just so bad on so many levels wow,2026-07-28T11:32:35.176519
